Ambi,uscite,Spia10,rip10,tra10,Spia20,rip20,tra20
"[7, 67]",11,34,15,-10,34,23,0
"[7, 68]",12,88,13,-16,88,23,-6
"[7, 69]",18,62,17,-23,15,33,4
"[7, 70]",16,17,17,-17,20,27,14
"[7, 71]",16,75,17,9,47,29,18
"[7, 72]",17,35,16,-4,35,32,6
"[7, 73]",14,15,14,-6,67,26,-1
"[7, 74]",16,55,19,7,66,27,7
"[7, 75]",14,60,15,-4,12,25,-27
"[7, 76]",16,35,17,-4,35,28,6
"[7, 77]",12,69,14,9,69,26,19
"[7, 78]",12,48,14,-4,72,21,4
"[7, 79]",24,68,21,-31,68,41,-21
"[7, 80]",14,56,14,-11,56,26,-1
"[7, 81]",18,47,21,8,3,37,15
"[7, 82]",5,34,8,-10,23,13,10
"[7, 83]",15,13,14,8,89,26,14
"[7, 84]",22,17,22,-17,17,40,-7
"[7, 85]",16,81,16,5,51,28,1
"[7, 86]",13,23,16,0,23,26,10
"[7, 87]",17,89,22,4,74,32,17
"[7, 88]",19,4,16,4,66,33,7
"[7, 89]",14,1,14,-39,16,24,19
"[7, 90]",20,20,19,4,81,34,15
"[8, 9]",19,87,19,-41,2,34,-31
"[8, 10]",27,11,22,3,81,44,15
"[8, 11]",23,74,23,7,74,41,17
